Formula,temperature(K),seebeck_coefficient(μV/K)
Ni0.5Cu0.5,22.764227642276424,-4.451038575667655
Ni0.5Cu0.5,45.52845528455285,-8.6053412462908
Ni0.5Cu0.5,68.29268292682927,-13.056379821958457
Ni0.5Cu0.5,97.5609756097561,-17.50741839762611
Ni0.5Cu0.5,133.33333333333334,-20.771513353115726
Ni0.5Cu0.5,162.60162601626016,-24.62908011869436
Ni0.5Cu0.5,204.8780487804878,-27.893175074183976
Ni0.5Cu0.5,247.15447154471545,-31.750741839762608
Ni0.5Cu0.5,289.4308943089431,-36.201780415430264
Ni0.5Cu0.5,328.4552845528455,-39.465875370919875
Ni0.5Cu0.5,386.9918699186992,-43.916913946587535
Ni0.5Cu0.5,442.2764227642276,-47.47774480712166
Ni0.5Cu0.5,504.0650406504065,-51.038575667655785
Ni0.5Cu0.5,585.3658536585366,-53.709198813056375
Ni0.5Cu0.5,637.3983739837398,-56.08308605341246
Ni0.5Cu0.5,702.4390243902438,-56.973293768545986
Ni0.5Cu0.5,793.4959349593496,-59.94065281899109
Ni0.5Cu0.5,910.5691056910568,-61.424332344213646
Ni0.5Cu0.5,1092.6829268292684,-64.68842729970326
Ni0.4Au0.6,55.43478260869565,-13.432835820895521
Ni0.4Au0.6,104.34782608695652,-26.268656716417908
Ni0.4Au0.6,153.26086956521738,-37.61194029850746
Ni0.4Au0.6,202.17391304347825,-47.16417910447761
Ni0.4Au0.6,247.82608695652172,-54.02985074626865
Ni0.4Au0.6,300.0,-61.19402985074626
Ni0.4Au0.6,358.695652173913,-66.56716417910447
Ni0.4Au0.6,404.3478260869565,-70.44776119402985
Ni0.4Au0.6,456.52173913043475,-72.83582089552237
Ni0.4Au0.6,502.17391304347825,-75.52238805970148
Ni0.4Au0.6,554.3478260869565,-77.61194029850745
Ni0.4Au0.6,603.2608695652174,-79.70149253731343
Ni0.4Au0.6,661.9565217391304,-81.19402985074626
Ni0.4Au0.6,714.1304347826086,-82.08955223880596
Ni0.4Au0.6,805.4347826086956,-83.88059701492537
Ni0.4Au0.6,903.2608695652174,-85.67164179104476
Ni0.4Au0.6,997.8260869565216,-85.67164179104476
Ni0.4Au0.6,1105.4347826086955,-86.56716417910447
Ni0.4Au0.6,1200.0,-86.86567164179104
Ni0.3Au0.7,52.17391304347826,-6.26865671641791
Ni0.3Au0.7,104.34782608695652,-12.835820895522387
Ni0.3Au0.7,150.0,-18.80597014925373
Ni0.3Au0.7,198.91304347826085,-25.07462686567164
Ni0.3Au0.7,251.08695652173913,-30.447761194029848
Ni0.3Au0.7,300.0,-35.223880597014926
Ni0.3Au0.7,348.9130434782609,-38.50746268656716
Ni0.3Au0.7,446.73913043478257,-43.88059701492537
Ni0.3Au0.7,498.9130434782608,-46.56716417910447
Ni0.3Au0.7,603.2608695652174,-50.14925373134328
Ni0.3Au0.7,648.9130434782609,-51.04477611940298
Ni0.3Au0.7,704.3478260869565,-51.940298507462686
Ni0.3Au0.7,753.2608695652174,-53.43283582089552
Ni0.3Au0.7,851.0869565217391,-54.92537313432835
Ni0.3Au0.7,955.4347826086956,-55.22388059701492
Ni0.3Au0.7,1004.3478260869565,-55.82089552238806
Ni0.3Au0.7,1056.5217391304348,-56.11940298507462
Ni0.3Au0.7,1151.086956521739,-56.71641791044776
Ni0.3Au0.7,1203.2608695652173,-56.41791044776119
Ni0.2Au0.8,48.91304347826087,-3.880597014925373
Ni0.2Au0.8,97.82608695652173,-7.462686567164178
Ni0.2Au0.8,150.0,-9.850746268656716
Ni0.2Au0.8,198.91304347826085,-11.641791044776118
Ni0.2Au0.8,247.82608695652172,-13.731343283582088
Ni0.2Au0.8,300.0,-15.820895522388058
Ni0.2Au0.8,348.9130434782609,-17.611940298507463
Ni0.2Au0.8,394.5652173913043,-19.402985074626862
Ni0.2Au0.8,498.9130434782608,-22.089552238805968
Ni0.2Au0.8,551.0869565217391,-23.582089552238806
Ni0.2Au0.8,603.2608695652174,-25.07462686567164
Ni0.2Au0.8,652.1739130434783,-25.970149253731343
Ni0.2Au0.8,697.8260869565217,-26.865671641791042
Ni0.2Au0.8,798.9130434782609,-28.05970149253731
Ni0.2Au0.8,903.2608695652174,-29.55223880597015
Ni0.2Au0.8,955.4347826086956,-29.55223880597015
Ni0.2Au0.8,1001.0869565217391,-30.14925373134328
Ni0.2Au0.8,1095.6521739130435,-30.746268656716417
Ni0.2Au0.8,1200.0,-31.343283582089548
Ni0.1Au0.9,48.91304347826087,-2.388059701492537
Ni0.1Au0.9,101.08695652173913,-4.17910447761194
Ni0.1Au0.9,150.0,-6.26865671641791
Ni0.1Au0.9,198.91304347826085,-8.35820895522388
Ni0.1Au0.9,251.08695652173913,-10.746268656716417
Ni0.1Au0.9,296.73913043478257,-12.238805970149253
Ni0.1Au0.9,348.9130434782609,-14.029850746268655
Ni0.1Au0.9,404.3478260869565,-15.820895522388058
Ni0.1Au0.9,498.9130434782608,-18.208955223880594
Ni0.1Au0.9,547.8260869565217,-19.402985074626862
Ni0.1Au0.9,603.2608695652174,-20.59701492537313
Ni0.1Au0.9,648.9130434782609,-21.19402985074627
Ni0.1Au0.9,704.3478260869565,-22.388059701492537
Ni0.1Au0.9,805.4347826086956,-23.88059701492537
Ni0.1Au0.9,900.0,-24.776119402985074
Ni0.1Au0.9,952.1739130434783,-25.671641791044774
Ni0.1Au0.9,1004.3478260869565,-25.970149253731343
Ni0.1Au0.9,1056.5217391304348,-26.865671641791042
Ni0.1Au0.9,1196.7391304347825,-27.462686567164177
Ni0.0Au1.0,19.51219512195122,0.29673590504451036
Ni0.0Au1.0,71.54471544715447,0.0
Ni0.0Au1.0,117.07317073170731,0.29673590504451036
Ni0.0Au1.0,172.35772357723576,0.29673590504451036
Ni0.0Au1.0,253.65853658536585,0.890207715133531
Ni0.0Au1.0,305.6910569105691,1.1869436201780414
Ni0.0Au1.0,396.7479674796748,1.4836795252225519
Ni0.0Au1.0,500.8130081300813,2.0771513353115725
Ni0.0Au1.0,556.0975609756098,2.0771513353115725
Ni0.0Au1.0,601.6260162601626,2.373887240356083
Ni0.0Au1.0,650.4065040650406,2.373887240356083
Ni0.0Au1.0,695.9349593495934,2.6706231454005933
Ni0.0Au1.0,793.4959349593496,2.6706231454005933
Ni0.0Au1.0,852.0325203252032,2.9673590504451037
Ni0.0Au1.0,900.8130081300812,2.6706231454005933
Ni0.0Au1.0,959.349593495935,2.6706231454005933
Ni0.0Au1.0,1004.8780487804878,2.9673590504451037
Ni0.0Au1.0,1092.6829268292684,2.9673590504451037
Ni0.0Au1.0,1196.7479674796748,3.264094955489614
