Formula,temperature(K),seebeck_coefficient(μV/K)
Mg3.0Sb1.49Bi0.5Te0.01,322.92441140024783,-196.01147776183643
Mg3.0Sb1.49Bi0.5Te0.01,350.18587360594796,-198.30703012912483
Mg3.0Sb1.49Bi0.5Te0.01,396.3444857496902,-211.3629842180775
Mg3.0Sb1.49Bi0.5Te0.01,444.0520446096654,-221.69296987087517
Mg3.0Sb1.49Bi0.5Te0.01,492.6889714993804,-230.7317073170732
Mg3.0Sb1.49Bi0.5Te0.01,543.8042131350682,-239.34002869440457
Bi0.5Sb1.5Te3.0Ag0.05,322.597,200.683
Bi0.5Sb1.5Te3.0Ag0.05,372.468,214.334
Bi0.5Sb1.5Te3.0Ag0.05,423.117,218.43
Bi0.5Sb1.5Te3.0Ag0.05,472.987,211.604
Bi0.5Sb1.5Te3.0Ag0.05,523.636,192.491
Bi0.5Sb1.5Te3.0Ag0.05,572.727,165.188
