formula,material_type
Ag2,n-type
Ag2BaGeS4,n-type
Ag2BaGeSe4,n-type
Ag2BaGeSe4,p-type
Ag2BaSnSe4,n-type
Ag2BaSnSe4,p-type
Ag2S,n-type
Ag2Se,n-type
Ag2Se,p-type
Ag2Se0,n-type
Ag2Se0.5Te0.25S0.25,n-type
Ag2Se0.5Te0.25S0.25,p-type
Ag2SrGeSe4,n-type
Ag2SrGeSe4,p-type
Ag2SrSnSe4,n-type
Ag2SrSnSe4,p-type
Ag2Te,p-type
Ag2Te11,p-type
Ag2Te33,p-type
AgGaTe2,n-type
AgSbTe2,p-type
AgSbTe2,p-type
AgSbTe2,p-type
B2P6,n-type
B2P6,p-type
BCS,n-type
BCS,p-type
BTS,n-type
BTS,p-type
Ba2BiAu,n-type
Ba2Ge2S6,n-type
Ba2SnSe4,n-type
BaAg2GeSe4,n-type
BaAg2GeSe4,p-type
BaAg2SnSe4,n-type
BaAg2SnSe4,n-type
BaAg2SnSe4,p-type
BaBi2O6,n-type
BaCdSnSe4,n-type
BaTiO3,n-type
Bi,n-type
Bi,n-type
Bi,p-type
Bi0.5Sb1.5Te3,n-type
Bi0.5Sb1.5Te3,p-type
Bi0.88Sb0.12,n-type
Bi0.88Sb0.12,p-type
Bi1.8Sb0.2Te3.0,n-type
Bi1.8Sb0.2Te3.0,p-type
Bi2,n-type
Bi2,n-type
Bi2,p-type
Bi2O2Se,p-type
Bi2S3,n-type
Bi2Sb3,n-type
Bi2Se3,n-type
Bi2Se3,p-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,n-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3,p-type
Bi2Te3.22,n-type
Bi2Te3.5,n-type
Bi2Te3.74,n-type
Bi2Te320,p-type
Bi2Te367,n-type
Bi2Te375,n-type
Bi88.5Sb7.5Sn4,p-type
BiCu0.7Ag0.3SeO,p-type
BiCuTeO,n-type
BiOCuSe,p-type
BiTeI21,n-type
CBW,n-type
CNO,p-type
CO2,n-type
CSO,n-type
CSO,p-type
Ca1,p-type
Ca3Co4O9,p-type
Ca5,p-type
CaMg2Bi2,p-type
CaMnO3,n-type
CaZrSe3,n-type
Cd3As2,n-type
Cd3As2,p-type
CdSnAs2,n-type
CeB6,p-type
Co2MnGa,p-type
Co3,p-type
Co3O4,p-type
CoSb3,n-type
CoSb3,n-type
CoSb3,n-type
CoSb3,p-type
CoSb3,p-type
CoSb3,p-type
CoTaSn,p-type
CoZrBi,n-type
CoZrBi,p-type
Cr2Ge2Te6,p-type
Cs3Cu2I5,n-type
Cs3Cu2I578,p-type
Cs8Cd18Sb28,p-type
Cs8Zn18Sb28,p-type
CsBi4Te6,p-type
