"","Formula","modformula","In","Tl","La","Sr","Mn","Ni","Ru","Pd","Hf","Cs","Sc","Co","Si","Fe","Li","Cl","Yb","Te","N","Ti","Cd","Zr","Y","Ga","Cr","Pr","Tm","Br","Ca","Mg","Rb","Au","Nd","Ce","Ho","I","Ba","Se","Pb","Ge","Gd","Tb","Dy","Cu","Na","Sb","Bi","P","As","Sm","Zn","Al","Sn","Ag","Nb","Mo","V","S","K","Lu","O","Eu","Ta","B","Er","temperature(K)","seebeck_coefficient(μV/K)","electrical_conductivity(S/m)","thermal_conductivity(W/mK)","power_factor(W/mK2)","ZT","reference","sum_elements"
"0","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","-110.0","27766.0","0.63","0.00034","0.16","10.1002/adfm.201806558","1.0"
"1","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","400.0","-138.0","23883.0","0.57","0.00045","0.32","10.1002/adfm.201806558","1.0"
"2","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","-163.0","20850.0","0.53","0.00055","0.52","10.1002/adfm.201806558","1.0"
"3","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","-181.0","19000.0","0.51","0.00062","0.73","10.1002/adfm.201806558","1.0"
"4","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","700.0","-193.0","17925.0","0.5","0.00067","0.94","10.1002/adfm.201806558","1.0"
"5","BiSb(Se0.92Br0.08)3","BiSbSe2.7600000000000002Br0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","800.0","-203.0","17340.0","0.44","0.00071","1.3","10.1002/adfm.201806558","1.0"
"6","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","-112.0","26117.0","0.64","0.00033","0.15","10.1002/adfm.201806558","1.0"
"7","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","400.0","-141.0","22500.0","0.57","0.00045","0.31","10.1002/adfm.201806558","1.0"
"8","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","-169.0","19362.0","0.53","0.00055","0.52","10.1002/adfm.201806558","1.0"
"9","BiSb(Se0.94Br0.06)3","BiSbSe2.82Br0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.036","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","600.0","-186.0","17500.0","0.51","0.00061","0.71","10.1002/adfm.201806558","1.0"
