Unnamed: 0,Formula,modformula,In,Tl,La,Sr,Mn,Ni,Ru,Pd,Hf,Cs,Sc,Co,Si,Fe,Li,Cl,Yb,Te,N,Ti,Cd,Zr,Y,Ga,Cr,Pr,Tm,Br,Ca,Mg,Rb,Au,Nd,Ce,Ho,I,Ba,Se,Pb,Ge,Gd,Tb,Dy,Cu,Na,Sb,Bi,P,As,Sm,Zn,Al,Sn,Ag,Nb,Mo,V,S,K,Lu,O,Eu,Ta,B,Er,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,sum_elements
0,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-110,27766,0.63,0.00034,0.16,10.1002/adfm.201806558,1
1,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,-138,23883,0.57,0.00045,0.32,10.1002/adfm.201806558,1
2,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-163,20850,0.53,0.00055,0.52,10.1002/adfm.201806558,1
3,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-181,19000,0.51,0.00062,0.73,10.1002/adfm.201806558,1
4,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-193,17925,0.5,0.00067,0.94,10.1002/adfm.201806558,1
5,BiSb(Se0.92Br0.08)3,BiSbSe2.7600000000000002Br0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-203,17340,0.44,0.00071,1.3,10.1002/adfm.201806558,1
6,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-112,26117,0.64,0.00033,0.15,10.1002/adfm.201806558,1
7,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,-141,22500,0.57,0.00045,0.31,10.1002/adfm.201806558,1
8,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-169,19362,0.53,0.00055,0.52,10.1002/adfm.201806558,1
9,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-186,17500,0.51,0.00061,0.71,10.1002/adfm.201806558,1
10,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-203,16277,0.5,0.00067,0.94,10.1002/adfm.201806558,1
11,BiSb(Se0.94Br0.06)3,BiSbSe2.82Br0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-219,15479,0.44,0.00074,1.35,10.1002/adfm.201806558,1
12,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-100,21000,0.65,0.00021,0.12,10.1002/adfm.201806558,1
13,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,-141,19000,0.59,0.00038,0.28,10.1002/adfm.201806558,1
14,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-169,16436,0.55,0.00047,0.43,10.1002/adfm.201806558,1
15,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-192,14630,0.53,0.00054,0.63,10.1002/adfm.201806558,1
16,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-213,13298,0.5,0.0006,0.84,10.1002/adfm.201806558,1
17,BiSb(Se0.96Br0.04)3,BiSbSe2.88Br0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.576,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-228,12500,0.45,0.00065,1.16,10.1002/adfm.201806558,1
18,BiSb(Se0.98Br0.02)3,BiSbSe2.94Br0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-109,21915,0.68,0.00026,0.12,10.1002/adfm.201806558,1
19,BiSb(Se0.98Br0.02)3,BiSbSe2.94Br0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,-147,19362,0.61,0.00042,0.27,10.1002/adfm.201806558,1
20,BiSb(Se0.98Br0.02)3,BiSbSe2.94Br0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-173,16702,0.58,0.0005,0.42,10.1002/adfm.201806558,1
21,BiSb(Se0.98Br0.02)3,BiSbSe2.94Br0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0.588,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-190,15000,0.56,0.00054,0.58,10.1002/adfm.201806558,1
