Formula,temperature(K)
CuAgTe0.5Se0.5,350
Sn0.93Pb0.06Zn0.01Se,300
SnSe,500
Bi2Si2Te6,480
Tl8.95Bi1.05Te6.0,293
Tl8.97Sb1.03Te6,850
Tl8.99Bi1.01Te6.0,623
Tl9.0Bi0.95Te6.0,532
Tl9.0BiTe6.0,350
Tl9.0Sb0.97Te6,300
Cu5Sn2Se7,500
BiSb(Se0.92Br0.08)3,480
Cu2.1Cd0.9SnSe4,293
In4Se2.32Cl0.03,850
Cu2Se0.92I0.08,623
MgAgSb,532
MgAgSb0.985In0.015,350
Rb7.88Au2.47Ge43.53,300
Cu2Zn0.2Fe0.8SnSe4,500
CsNd2Ag3Te5,480
CsSm2Ag3Te5,293
Ag0.94CuSe,850
AgCuSe,623
Ti0.95Al0.05O2,532
TiO2,350
Ti0.99Al0.01O2,300
Ta0.84Ti0.16FeSb,500
In0.005Pb0.995Te0.994I0.006,480
(Sn0.985In0.015Te)0.95(AgCl)0.05,293
(Sn0.985In0.015Te)0.9(AgCl)0.1,850
(Sn0.985In0.015Te)0.85(AgCl)0.15,623
FeNb0.86Hf0.14Sb,532
